datetime,station,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM,PI
2014-01-23,Aotizhongxin,221.4,252.9,135.2,127.3,4262.5,1.1,-1.3,1010.8,-12.2,0.0,1.3,19.75
2014-01-24,Aotizhongxin,151.1,169.0,88.7,92.0,2725.0,5.8,2.1,1012.1,-11.6,0.0,1.1,13.48
2014-01-25,Aotizhongxin,24.8,47.0,27.1,38.0,716.7,34.6,3.7,1021.5,-16.1,0.0,2.2,2.56
2014-01-26,Aotizhongxin,44.6,71.8,44.0,38.5,762.5,33.8,-0.5,1022.4,-7.4,0.0,2.6,4.26
2014-01-27,Aotizhongxin,87.0,112.2,62.7,60.5,1679.2,19.5,2.0,1013.8,-11.5,0.0,2.0,7.95
2014-01-28,Aotizhongxin,39.0,70.1,24.0,42.2,854.2,36.7,1.0,1021.3,-12.4,0.0,2.3,3.77
2014-01-29,Aotizhongxin,119.5,138.3,78.6,79.2,2291.7,2.8,-1.3,1008.8,-6.7,0.0,1.6,10.76
2014-01-30,Aotizhongxin,61.2,77.9,39.3,41.0,1100.0,38.1,3.0,1012.2,-12.7,0.0,2.0,5.59
2014-01-31,Aotizhongxin,132.1,162.2,67.2,49.5,1329.2,15.1,1.2,1013.6,-3.8,0.0,1.5,11.57
2014-02-01,Aotizhongxin,129.8,128.2,56.5,60.0,1795.8,2.0,2.9,1010.0,0.2,0.0,1.3,11.28
2014-02-02,Aotizhongxin,64.2,89.8,16.8,27.5,1133.3,39.8,4.4,1009.6,-11.9,0.0,3.0,5.69
2014-02-03,Aotizhongxin,5.5,30.1,6.2,7.8,354.2,67.2,-0.8,1021.4,-25.0,0.0,3.8,1.05
2014-02-04,Aotizhongxin,24.8,36.4,18.7,21.7,583.3,52.4,-2.5,1023.5,-25.0,0.0,1.7,2.4
2014-02-05,Aotizhongxin,88.2,101.5,56.1,47.1,1504.2,19.8,-2.7,1022.5,-15.3,0.0,1.4,7.88
2014-02-06,Aotizhongxin,119.8,117.9,69.1,64.5,2000.0,11.1,-1.4,1023.8,-10.2,0.0,1.4,10.57
2014-02-07,Aotizhongxin,83.5,60.3,33.3,53.1,1283.3,13.0,-2.5,1020.7,-4.6,0.2,1.2,7.29
2014-02-08,Aotizhongxin,53.1,38.1,19.4,30.9,1041.7,37.5,-2.5,1022.4,-11.4,0.0,2.6,4.66
2014-02-09,Aotizhongxin,9.0,9.8,16.3,15.9,458.3,54.3,-5.4,1030.6,-19.0,0.0,2.5,1.06
2014-02-10,Aotizhongxin,20.4,20.0,18.7,32.9,654.2,43.0,-6.3,1028.7,-16.2,0.0,1.6,2.06
2014-02-11,Aotizhongxin,99.7,97.6,60.9,70.8,2000.0,9.7,-5.1,1022.2,-12.6,0.0,1.5,8.94
2014-02-12,Aotizhongxin,119.8,110.3,50.8,75.1,2345.8,6.7,-2.3,1026.5,-11.9,0.0,1.4,10.55
2014-02-13,Aotizhongxin,183.9,173.5,71.3,79.5,2812.5,1.3,-3.0,1028.4,-6.5,0.0,1.4,15.89
2014-02-14,Aotizhongxin,243.6,254.6,74.8,96.6,3147.9,5.1,-2.5,1020.2,-6.3,0.0,1.1,20.98
2014-02-15,Aotizhongxin,402.2,400.0,100.0,111.0,3766.7,5.5,-0.8,1018.6,-5.6,0.0,1.2,34.09
2014-02-16,Aotizhongxin,320.8,292.4,83.9,89.4,3350.0,18.5,1.6,1023.5,-6.3,0.0,1.5,27.15
2014-02-17,Aotizhongxin,80.9,77.6,63.4,63.7,1800.0,25.9,1.8,1028.9,-11.8,0.0,1.8,7.39
2014-02-18,Aotizhongxin,65.3,74.0,33.4,57.7,1077.1,24.7,-0.8,1025.7,-8.4,0.0,1.7,5.96
2014-02-19,Aotizhongxin,63.1,73.2,37.3,53.3,1220.8,25.8,1.0,1022.7,-10.2,0.0,2.0,5.78
2014-02-20,Aotizhongxin,210.9,226.0,39.3,81.4,2262.5,3.2,-0.7,1024.1,-4.5,0.0,1.5,18.05
2014-02-21,Aotizhongxin,248.4,270.9,76.4,99.3,2562.5,5.6,0.9,1022.2,-3.2,0.0,1.2,21.42
2014-02-22,Aotizhongxin,261.3,303.9,111.3,104.6,3612.5,4.4,3.2,1023.9,-2.6,0.0,1.4,22.77
2014-02-23,Aotizhongxin,196.6,230.1,130.5,84.9,3441.7,3.1,2.5,1024.7,-2.7,0.0,1.1,17.4
2014-02-24,Aotizhongxin,241.9,305.8,137.2,118.8,4437.5,2.8,3.5,1021.5,-2.1,0.0,0.9,21.5
2014-02-25,Aotizhongxin,382.4,397.7,84.2,123.8,5133.3,4.2,4.0,1020.1,-1.3,0.0,1.1,32.61
2014-02-26,Aotizhongxin,363.0,344.7,95.2,122.8,4264.6,8.0,5.1,1017.1,0.5,0.0,1.4,30.92
2014-02-27,Aotizhongxin,16.4,10.4,11.8,24.0,462.5,56.3,4.0,1023.1,-11.5,0.0,2.5,1.64
2014-02-28,Aotizhongxin,89.1,101.2,33.7,73.6,1437.5,8.5,1.6,1020.4,-4.3,0.0,1.4,8.01
2014-03-01,Aotizhongxin,81.0,96.3,38.6,58.0,1487.5,35.6,5.9,1017.4,-11.3,0.0,2.1,7.33
2014-03-02,Aotizhongxin,137.3,166.4,69.8,91.2,2583.3,14.0,4.3,1016.5,-5.1,0.0,1.7,12.32
2014-03-03,Aotizhongxin,224.0,253.8,115.2,98.2,4479.2,2.0,1.9,1016.1,-2.6,0.0,1.4,19.69
2014-03-04,Aotizhongxin,59.5,70.4,29.8,39.5,1195.8,44.7,4.8,1020.8,-14.5,0.0,2.6,5.4
2014-03-05,Aotizhongxin,20.5,35.6,15.0,45.6,633.3,35.8,2.3,1022.5,-16.0,0.0,2.3,2.64
2014-03-06,Aotizhongxin,13.7,26.2,12.4,30.7,520.8,52.5,3.6,1023.8,-19.6,0.0,2.3,1.84
2014-03-07,Aotizhongxin,52.1,78.1,26.0,57.6,1083.3,23.1,3.7,1023.3,-14.9,0.0,1.8,4.92
2014-03-08,Aotizhongxin,147.4,174.8,73.9,96.8,2391.7,9.4,4.2,1017.3,-6.3,0.0,1.3,13.18
2014-03-09,Aotizhongxin,96.7,117.7,44.7,75.0,1491.7,22.0,4.1,1020.1,-7.2,0.0,1.8,8.74
2014-03-10,Aotizhongxin,81.0,102.1,54.0,76.7,1679.2,12.3,3.8,1017.7,-3.7,0.0,1.3,7.5
2014-03-11,Aotizhongxin,155.7,195.9,85.5,87.8,2404.2,30.8,7.7,1012.3,-2.9,0.0,2.0,13.93
2014-03-12,Aotizhongxin,10.2,20.3,8.8,22.2,420.8,63.0,7.7,1019.6,-15.3,0.0,3.1,1.38
2014-03-13,Aotizhongxin,22.8,85.5,14.3,42.5,608.3,40.8,7.4,1015.9,-14.2,0.0,2.3,2.91
2014-03-14,Aotizhongxin,22.2,87.2,13.4,32.1,495.8,55.5,11.2,1012.0,-12.7,0.0,3.0,2.89
2014-03-15,Aotizhongxin,101.5,200.4,46.8,99.0,1537.5,14.9,11.6,1005.1,-5.4,0.0,1.3,9.58
2014-03-16,Aotizhongxin,113.7,213.0,76.8,72.0,2075.0,43.5,11.7,1009.3,-2.0,0.0,1.4,10.59
2014-03-17,Aotizhongxin,84.6,255.3,27.9,55.5,1120.8,38.8,13.2,1007.1,-1.9,0.0,2.5,8.16
2014-03-18,Aotizhongxin,37.7,136.4,15.4,44.2,579.2,56.3,11.8,1016.2,-4.1,0.0,2.6,4.43
2014-03-19,Aotizhongxin,52.9,113.3,17.1,53.3,820.8,36.9,9.0,1017.3,-4.8,0.0,2.2,5.06
2014-03-20,Aotizhongxin,11.9,29.8,4.6,23.2,362.5,60.5,11.7,1020.6,-8.9,0.0,2.3,1.46
2014-03-21,Aotizhongxin,27.9,80.3,12.8,52.7,595.8,42.7,13.3,1014.2,-5.2,0.0,1.8,3.22
2014-03-22,Aotizhongxin,57.5,150.7,17.8,68.5,929.2,36.6,13.9,1012.3,-4.5,0.0,1.8,5.66
2014-03-23,Aotizhongxin,131.7,186.5,42.2,87.2,1429.2,61.3,12.9,1017.1,0.5,0.0,1.5,11.85
2014-03-24,Aotizhongxin,230.0,268.6,54.8,115.3,1920.8,40.0,13.3,1007.9,4.3,0.0,1.5,20.03
2014-03-25,Aotizhongxin,215.5,255.0,45.1,114.3,1616.7,57.4,15.4,1004.5,5.4,0.0,1.2,18.82
2014-03-26,Aotizhongxin,288.1,346.2,50.6,124.7,1991.7,45.5,15.6,1004.5,9.0,0.0,1.2,24.89
2014-03-27,Aotizhongxin,245.5,292.6,40.2,105.9,2258.3,3.0,13.6,1005.6,8.6,0.0,1.2,21.15
2014-03-28,Aotizhongxin,122.9,159.5,25.2,65.0,1470.8,35.0,16.3,1002.5,9.4,0.0,1.2,10.81
2014-03-29,Aotizhongxin,40.8,67.0,10.0,36.9,508.3,58.4,17.1,1007.2,3.2,0.0,2.2,3.83
2014-03-30,Aotizhongxin,36.2,93.1,10.8,69.0,537.5,38.6,18.1,1009.4,1.1,0.0,1.3,4.1
2014-03-31,Aotizhongxin,144.4,194.2,35.5,88.8,1750.0,38.1,16.5,1009.6,6.8,0.0,1.3,12.83
2014-04-01,Aotizhongxin,115.5,119.5,19.6,75.6,962.5,54.6,16.9,1006.4,6.8,0.0,1.8,10.14
2014-04-02,Aotizhongxin,101.7,165.5,26.8,67.4,870.8,69.0,16.9,1009.5,4.6,0.0,1.9,9.24
2014-04-03,Aotizhongxin,26.0,99.5,6.7,43.3,450.0,48.8,14.1,1017.6,-8.8,0.0,2.7,3.29
2014-04-04,Aotizhongxin,33.5,144.4,9.2,45.3,579.2,47.4,15.0,1009.2,-5.0,0.0,2.6,4.56
2014-04-05,Aotizhongxin,26.2,102.3,7.2,39.0,445.8,60.4,13.1,1016.4,-6.0,0.0,2.3,3.35
2014-04-06,Aotizhongxin,60.6,180.6,13.4,65.9,662.5,48.0,15.4,1011.5,-0.9,0.0,2.2,5.98
2014-04-07,Aotizhongxin,98.5,205.1,22.5,83.2,762.5,59.0,16.5,1007.3,3.5,0.0,1.0,9.2
2014-04-08,Aotizhongxin,180.3,259.9,42.2,97.8,1487.5,73.7,17.9,1007.1,6.9,0.0,1.9,16.0
2014-04-09,Aotizhongxin,123.7,253.0,22.8,63.7,870.8,63.9,20.8,1005.7,4.1,0.0,1.7,11.22
2014-04-10,Aotizhongxin,108.2,391.3,33.0,57.6,1258.3,37.6,16.0,1016.0,0.9,0.0,1.6,11.98
2014-04-11,Aotizhongxin,72.4,115.7,22.4,71.2,962.5,44.7,14.6,1013.2,1.4,0.0,1.2,6.74
2014-04-12,Aotizhongxin,109.2,154.5,28.0,88.3,1441.7,45.0,14.8,1010.3,2.6,0.0,1.4,9.91
2014-04-13,Aotizhongxin,170.6,215.5,29.0,87.8,1258.3,71.0,16.5,1011.2,7.4,0.0,1.2,14.94
2014-04-14,Aotizhongxin,240.5,267.6,35.8,88.9,1841.7,73.1,18.9,1010.4,11.6,0.0,1.4,20.64
2014-04-15,Aotizhongxin,90.4,160.0,17.0,62.6,775.0,34.3,17.0,1013.1,7.8,0.0,1.6,8.2
2014-04-16,Aotizhongxin,63.9,126.0,14.3,82.1,766.7,25.6,16.3,1008.1,1.9,0.0,0.8,6.12
2014-04-17,Aotizhongxin,98.4,160.0,24.9,82.0,1254.2,44.7,14.2,1007.2,9.4,0.1,1.2,9.02
2014-04-18,Aotizhongxin,133.4,155.5,18.5,73.4,1316.7,49.1,16.5,1013.6,9.7,0.0,1.3,11.65
2014-04-19,Aotizhongxin,62.5,112.0,16.7,82.7,750.0,36.5,13.2,1014.8,3.5,0.0,1.7,5.99
2014-04-20,Aotizhongxin,66.9,102.2,10.0,71.7,691.7,41.8,15.3,1010.8,4.1,0.0,1.2,6.2
2014-04-21,Aotizhongxin,58.3,118.4,8.7,69.2,537.5,46.6,16.8,1010.1,2.9,0.0,1.5,5.57
2014-04-22,Aotizhongxin,69.8,144.7,11.8,74.6,570.8,60.3,18.3,1007.4,4.6,0.0,1.8,6.64
2014-04-23,Aotizhongxin,134.7,193.1,27.4,48.6,879.2,83.1,19.2,1004.6,12.3,0.0,1.5,11.81
2014-04-24,Aotizhongxin,118.4,145.8,20.0,48.5,716.7,87.0,19.2,1008.4,12.8,0.0,1.6,10.33
2014-04-25,Aotizhongxin,144.1,215.1,20.7,92.7,1062.5,56.8,18.7,1011.1,10.6,0.3,1.6,12.85
2014-04-26,Aotizhongxin,94.8,107.9,3.6,22.7,335.8,60.9,16.8,1014.4,6.1,0.1,1.8,8.05
2014-04-27,Aotizhongxin,123.1,138.1,12.7,34.1,580.0,69.5,17.8,1014.7,6.4,0.0,1.5,10.51
2014-04-28,Aotizhongxin,122.0,155.5,23.4,58.8,801.5,45.5,19.1,1013.1,6.4,0.0,1.3,10.66
2014-04-29,Aotizhongxin,115.7,156.1,26.9,64.9,916.0,85.3,19.7,1007.3,7.6,0.0,1.7,10.3
2014-04-30,Aotizhongxin,119.7,177.1,21.6,77.8,841.7,90.6,21.0,1003.1,11.1,0.0,1.7,10.76
2014-05-01,Aotizhongxin,125.8,198.9,19.4,54.0,708.3,86.3,19.4,1002.6,11.1,0.1,2.4,11.14
2014-05-02,Aotizhongxin,39.2,59.1,2.7,22.9,337.5,71.0,15.6,1010.5,-0.3,0.0,2.6,3.56
2014-05-03,Aotizhongxin,58.8,188.1,7.5,47.2,504.2,48.8,15.5,1007.4,0.1,0.0,3.1,5.98
2014-05-04,Aotizhongxin,39.1,58.4,2.5,18.2,379.2,68.1,12.7,1012.2,-7.3,0.0,3.3,3.52
2014-05-05,Aotizhongxin,40.5,60.3,4.4,44.2,479.2,54.0,14.2,1011.4,-4.1,0.0,2.1,3.8
2014-05-06,Aotizhongxin,94.6,134.3,30.1,66.4,962.5,58.2,15.6,1002.3,4.6,0.0,1.2,8.56
2014-05-07,Aotizhongxin,71.2,129.6,15.2,54.5,1058.3,53.3,18.6,1001.3,2.1,0.0,1.9,6.58
2014-05-08,Aotizhongxin,91.8,143.0,18.2,60.8,991.7,77.3,17.5,1008.3,7.6,0.0,1.6,8.32
2014-05-09,Aotizhongxin,64.5,119.1,34.4,57.4,1212.5,70.0,17.4,1009.2,6.8,0.0,1.3,6.15
2014-05-10,Aotizhongxin,56.6,97.5,30.5,56.2,1166.7,66.8,16.5,1010.3,7.7,0.0,1.3,5.43
2014-05-11,Aotizhongxin,24.8,28.5,3.8,32.5,825.0,63.6,12.0,1000.7,10.7,1.1,1.5,2.41
2014-05-12,Aotizhongxin,38.1,79.3,7.8,52.4,595.8,64.5,21.2,994.9,10.2,0.0,2.1,3.77
2014-05-13,Aotizhongxin,55.8,129.8,11.9,59.3,604.2,59.2,22.4,995.0,5.9,0.0,2.1,5.39
2014-05-14,Aotizhongxin,23.6,82.1,5.2,30.3,300.0,60.5,17.9,999.9,0.7,0.0,2.0,2.73
2014-05-15,Aotizhongxin,72.9,225.7,8.6,69.7,570.8,40.9,19.9,994.6,6.3,0.0,1.3,7.25
2014-05-16,Aotizhongxin,60.6,151.0,11.8,58.8,570.8,71.0,22.8,1001.5,6.6,0.0,1.5,5.86
2014-05-17,Aotizhongxin,67.8,151.4,25.2,71.0,883.3,89.9,21.5,1006.8,8.5,0.0,1.6,6.6
2014-05-18,Aotizhongxin,103.5,226.4,27.3,64.6,833.3,110.8,23.2,1002.6,12.3,0.0,1.7,9.65
2014-05-19,Aotizhongxin,110.9,182.0,15.6,58.5,833.3,121.3,22.7,998.9,16.3,0.3,1.3,9.99
2014-05-20,Aotizhongxin,95.0,168.9,10.6,50.5,883.3,102.8,25.3,998.5,12.1,0.0,1.7,8.6
2014-05-21,Aotizhongxin,112.8,192.2,25.7,62.6,1258.3,113.4,24.0,999.8,15.1,0.0,1.3,10.25
2014-05-22,Aotizhongxin,150.6,247.3,18.4,76.0,1295.8,94.4,26.6,1000.6,14.8,0.0,1.9,13.42
2014-05-23,Aotizhongxin,85.4,168.5,20.1,55.4,654.2,126.3,27.1,1003.9,14.8,0.0,1.6,7.96
2014-05-24,Aotizhongxin,85.0,117.9,6.5,50.9,858.3,42.4,21.2,1002.2,19.5,0.4,0.8,7.52
2014-05-25,Aotizhongxin,77.7,138.3,2.3,30.5,487.5,57.3,23.5,1000.8,7.5,0.0,2.0,6.88
2014-05-26,Aotizhongxin,28.9,86.9,4.3,65.5,470.8,55.2,25.0,993.4,6.6,0.0,1.3,3.83
2014-05-27,Aotizhongxin,38.9,108.8,3.8,48.1,341.7,61.5,25.2,990.7,6.9,0.0,2.2,3.88
2014-05-28,Aotizhongxin,36.9,36.9,9.2,73.9,541.7,83.1,27.3,994.4,9.1,0.0,2.3,4.19
2014-05-29,Aotizhongxin,55.8,55.8,12.3,96.7,787.5,93.4,29.4,992.2,11.7,0.0,1.1,5.58
2014-05-30,Aotizhongxin,91.2,147.9,35.6,79.3,1341.7,155.2,28.6,1000.0,14.8,0.0,1.0,8.63
2014-05-31,Aotizhongxin,115.2,248.0,48.7,74.8,2095.8,139.5,26.8,1001.4,16.8,0.6,1.1,10.9
2014-06-01,Aotizhongxin,49.1,62.6,3.2,31.6,512.5,124.2,22.6,1002.9,17.3,0.7,1.8,4.5
2014-06-02,Aotizhongxin,31.0,44.2,2.7,37.7,420.8,95.9,21.0,1005.6,15.6,0.0,0.5,3.01
2014-06-03,Aotizhongxin,39.9,52.7,6.6,60.1,541.7,94.9,24.8,1001.8,14.2,0.0,1.1,3.91
2014-06-04,Aotizhongxin,58.4,58.4,9.4,71.5,712.5,87.3,24.9,1000.3,16.6,0.0,1.0,5.45
2014-06-05,Aotizhongxin,69.2,69.2,10.7,60.6,670.8,113.0,27.4,998.4,17.4,0.0,1.1,6.3
2014-06-06,Aotizhongxin,58.2,58.2,9.6,53.8,908.3,47.9,20.9,998.9,18.6,1.0,1.3,5.26
2014-06-07,Aotizhongxin,12.5,12.5,2.4,33.6,304.2,56.9,23.0,998.1,11.9,0.0,1.7,1.87
2014-06-08,Aotizhongxin,30.0,30.0,7.4,64.5,612.5,39.2,21.0,996.5,15.3,0.3,1.0,3.58
2014-06-09,Aotizhongxin,31.0,31.0,6.3,50.1,504.2,66.5,22.7,999.0,14.4,0.0,1.1,3.02
2014-06-10,Aotizhongxin,77.0,77.0,6.7,54.8,1141.7,71.5,21.2,1003.0,17.7,0.6,0.6,6.83
2014-06-11,Aotizhongxin,45.8,45.8,3.3,40.8,704.2,67.5,24.0,1003.9,16.4,0.0,1.0,4.16
2014-06-12,Aotizhongxin,30.5,30.5,7.2,57.6,470.8,79.5,27.4,1000.1,15.1,0.0,1.3,3.32
2014-06-13,Aotizhongxin,59.7,59.7,7.6,57.3,808.3,90.1,24.9,1001.5,18.7,0.2,1.0,5.46
2014-06-14,Aotizhongxin,42.2,42.2,3.3,46.4,554.2,115.7,25.6,1000.6,19.1,0.0,0.8,3.98
2014-06-15,Aotizhongxin,113.9,113.9,11.7,71.5,1150.0,126.3,26.2,998.5,19.9,0.0,0.9,10.06
2014-06-16,Aotizhongxin,135.7,135.7,2.8,50.5,850.0,120.1,25.5,996.3,20.6,0.0,1.1,11.64
2014-06-17,Aotizhongxin,83.9,83.9,2.4,44.0,766.7,102.7,21.9,996.8,20.1,2.2,1.0,7.34
2014-06-18,Aotizhongxin,62.4,62.4,2.5,43.8,583.3,94.0,24.5,996.9,19.1,0.0,1.4,5.57
2014-06-19,Aotizhongxin,133.4,133.4,4.7,60.7,1135.4,75.1,23.9,998.7,20.3,1.0,1.2,11.47
2014-06-20,Aotizhongxin,43.9,43.9,2.4,31.7,745.8,80.5,23.0,1001.4,18.7,1.2,1.1,3.96
2014-06-21,Aotizhongxin,68.9,68.9,4.5,42.0,737.5,79.3,21.9,1002.9,18.7,0.6,0.9,6.08
2014-06-22,Aotizhongxin,32.4,32.4,2.2,42.5,404.2,76.8,22.2,1003.1,17.9,0.0,1.0,3.08
2014-06-23,Aotizhongxin,27.0,27.0,2.1,45.4,366.7,86.3,24.8,1001.8,16.9,0.0,0.9,2.69
2014-06-24,Aotizhongxin,68.2,68.2,6.1,63.7,575.0,109.4,26.1,998.4,18.0,0.0,1.3,6.21
2014-06-25,Aotizhongxin,101.9,101.9,10.5,60.9,1050.0,77.1,24.3,997.5,20.8,0.0,1.4,8.92
2014-06-26,Aotizhongxin,122.9,122.9,6.9,40.5,820.8,116.1,27.4,997.1,22.1,0.0,1.4,10.54
2014-06-27,Aotizhongxin,22.8,22.8,5.1,41.4,254.2,69.9,28.0,1000.7,14.5,0.0,1.6,2.42
2014-06-28,Aotizhongxin,24.7,24.7,8.6,56.8,500.0,63.8,28.6,999.5,13.7,0.0,1.0,3.18
2014-06-29,Aotizhongxin,46.9,46.9,13.8,57.3,1079.2,105.1,28.4,999.9,18.0,0.0,1.1,4.48
2014-06-30,Aotizhongxin,77.0,77.0,16.4,65.6,1083.3,135.6,29.5,999.6,18.0,0.0,1.5,7.05
2014-07-01,Aotizhongxin,108.8,108.8,16.9,55.4,954.2,127.1,27.5,998.5,20.3,0.3,1.3,9.56
2014-07-02,Aotizhongxin,62.3,62.3,2.1,40.4,833.3,85.4,23.2,997.3,22.4,0.2,0.8,5.53
2014-07-03,Aotizhongxin,206.8,206.8,2.5,53.3,1162.5,77.0,26.2,995.3,23.7,0.0,0.8,17.39
2014-07-04,Aotizhongxin,197.9,197.9,2.4,53.3,1179.2,100.5,27.6,998.8,23.9,0.0,1.2,16.71
2014-07-05,Aotizhongxin,122.4,122.4,2.6,49.9,870.8,97.8,27.8,1000.7,22.4,0.0,1.5,10.52
2014-07-06,Aotizhongxin,209.2,209.2,2.5,45.0,1212.5,124.1,28.5,998.8,23.8,0.0,1.2,17.61
2014-07-07,Aotizhongxin,163.9,163.9,2.2,52.3,970.8,96.5,28.8,996.5,24.0,0.0,1.2,13.91
2014-07-08,Aotizhongxin,95.1,95.1,4.6,53.9,791.7,60.9,28.5,996.3,17.9,0.0,1.5,8.26
2014-07-09,Aotizhongxin,28.8,28.8,4.8,64.8,516.7,43.8,27.3,998.3,16.3,0.0,1.2,3.57
2014-07-10,Aotizhongxin,31.0,31.0,6.6,47.5,404.2,84.3,29.6,994.0,16.7,0.0,1.8,3.03
2014-07-11,Aotizhongxin,31.0,31.0,3.2,51.3,416.7,69.6,29.1,994.0,16.1,0.0,1.2,3.01
2014-07-12,Aotizhongxin,15.8,15.8,2.8,40.5,291.7,71.8,28.5,996.5,13.8,0.0,1.5,2.27
2014-07-13,Aotizhongxin,19.9,19.9,3.7,54.6,320.8,55.8,27.5,996.5,15.9,0.1,1.2,2.96
2014-07-14,Aotizhongxin,27.7,27.7,4.0,49.5,437.5,96.8,28.4,996.4,17.0,0.0,0.9,2.92
2014-07-15,Aotizhongxin,51.1,51.1,4.0,37.9,416.7,125.5,27.2,997.7,19.6,0.1,1.8,4.66
2014-07-16,Aotizhongxin,112.8,112.8,2.4,58.5,812.5,75.1,24.8,997.9,22.3,1.2,1.1,9.75
2014-07-17,Aotizhongxin,134.5,134.5,2.0,56.4,1820.8,62.0,25.5,1000.0,23.2,0.0,0.9,11.52
2014-07-18,Aotizhongxin,129.1,129.1,3.2,45.8,1404.2,107.6,29.1,1001.1,24.7,0.0,1.1,11.08
2014-07-19,Aotizhongxin,67.4,67.4,2.1,43.2,412.5,90.7,30.7,1002.1,25.0,0.0,1.3,5.96
2014-07-20,Aotizhongxin,64.7,64.7,2.7,32.5,445.8,103.5,30.8,998.6,25.5,0.0,1.8,5.69
2014-07-21,Aotizhongxin,25.6,25.6,4.7,28.5,370.8,65.7,30.5,996.4,19.9,0.0,2.0,2.42
2014-07-22,Aotizhongxin,13.9,13.9,6.5,45.6,454.2,27.8,26.6,1000.6,18.8,0.0,0.8,2.43
2014-07-23,Aotizhongxin,29.2,29.2,4.7,80.7,566.7,31.8,25.5,998.1,21.7,0.0,0.3,4.29
2014-07-24,Aotizhongxin,71.5,71.5,4.0,84.6,962.5,45.8,25.8,999.7,22.0,0.0,0.6,6.52
2014-07-25,Aotizhongxin,73.9,73.9,5.7,53.5,1204.2,104.3,27.6,999.9,18.6,0.0,1.3,6.63
2014-07-26,Aotizhongxin,102.1,102.1,7.7,49.2,1000.0,141.6,28.9,1002.3,19.7,0.0,1.7,8.96
2014-07-27,Aotizhongxin,109.9,109.9,13.6,43.2,775.0,148.7,29.2,1001.8,20.1,0.0,1.8,9.58
2014-07-28,Aotizhongxin,123.3,123.3,7.5,35.5,695.8,131.8,29.1,997.9,21.6,0.0,1.7,10.56
2014-07-29,Aotizhongxin,118.5,118.5,3.5,30.2,554.2,134.1,28.9,996.9,22.4,0.1,2.3,10.12
2014-07-30,Aotizhongxin,131.6,131.6,2.0,33.3,1170.8,92.2,25.6,999.7,23.6,0.5,0.7,11.16
